Indicator Name,Definition,Value format,Metadata,Data collection guidelines,variable
Primary Ownership Model,Dominant ownership structure for smart city infrastructure and systems,Categorical,Categories: Public (government-owned); Private (corporation-owned); PPP (Public-Private Partnership); Mixed (combination); Community (cooperative/community-owned); Unknown. Use semi-colon to separate if multiple models apply to different systems.,"Check official city documents, tender announcements, project MOUs. Look for statements about who owns infrastructure. If different systems have different owners, list all models separated by semi-colons and note which systems in Comment field.",own-model
Foreign Ownership Presence,Whether foreign entities have ownership stakes in smart city infrastructure,Boolean,TRUE if any foreign companies or governments have ownership stakes; FALSE if entirely domestic ownership; Unknown if unclear. Use Comment to specify which countries/companies.,"Search for international partnerships, Chinese investments (Huawei, ZTE), Western tech companies (Cisco, IBM, Microsoft), or other foreign actors. Check news articles, company announcements, diplomatic sources.",own-foreign
Key Ownership Entities,Names of primary organizations that own smart city infrastructure,Text,"List of specific entities (government agencies, companies, consortia) that own major smart city systems. Separate multiple entities with semi-colons.","Look for specific agency names (e.g., ""City Council IT Department""), company names (e.g., ""Huawei Technologies""), or consortium names. Prioritize entities controlling core infrastructure. Maximum 5-7 key entities.",own-entities
Data Ownership Structure,Who owns the data generated by smart city systems,Categorical,Categories: Government; Private contractor; Shared (government and contractor); Citizens (data rights to individuals); Unclear; Unknown. Use semi-colon if different for different systems.,"Check data governance policies, privacy policies, contracts (if available). Look for statements about who can access, use, or commercialize data. This is often unclear - note ""Unknown"" if no evidence found.",own-data
Decision-making Authority,Which entity has primary authority over smart city system operations and policy,Categorical,Categories: Municipal government; National government; Private operator; Joint governance committee; Technology provider; Unclear; Unknown.,"Look for governance structures in official documents. Who makes decisions about system upgrades, data access, policy changes? Check for oversight committees or joint steering groups.",ctl-decision
Vendor Lock-in Risk,Assessment of whether city is dependent on specific technology vendors,Categorical,"Categories: High (proprietary systems, single vendor); Medium (some interoperability but vendor dependence); Low (open standards, multiple vendors); Unknown.","Look for use of proprietary vs. open standards, exclusivity clauses in contracts, whether multiple vendors used. High lock-in often indicated by single-vendor platforms (e.g., all Huawei, all IBM).",ctl-vendor-lock
Citizen Participation Mechanisms,Formal mechanisms for citizen input into smart city governance,Text,"Description of mechanisms such as advisory boards, public consultations, participatory budgeting, citizen panels, feedback platforms. List specific mechanisms separated by semi-colons. Enter ""None identified"" if no mechanisms found.","Search for citizen engagement programs, public consultation processes, advisory committees. Look for evidence of actual implementation, not just policy statements. Note if mechanisms are active or dormant.",ctl-citizen-input
Accountability Mechanisms,Systems for holding smart city operators accountable,Text,"Description of accountability structures such as oversight bodies, performance audits, public reporting requirements, complaint mechanisms. Separate multiple mechanisms with semi-colons.","Look for independent oversight bodies, regular audit requirements, public performance reports, ombudsman services. Check if these exist in policy vs. practice.",ctl-accountability
Primary Funding Sources,Main sources of capital for smart city projects,Text,List funding sources separated by semi-colons. Examples: National government; Municipal budget; World Bank; AfDB; Private investment; PPP; Chinese loans; EU grants; Bilateral aid; User fees.,"Check project announcements, government budgets, development bank portfolios, news reports on financing agreements. Look for specific funding amounts if available to identify primary sources.",fnd-sources
Total Investment Amount,Total estimated or actual investment in smart city infrastructure (USD),Numerical,"Total investment amount in millions of USD. If multiple phases, sum total planned investment. Use Comment to note if this is planned vs. actual, and specify time period.","Look for official announcements, tender documents, development bank project pages, news reports. Often only planned amounts available. Note currency conversion date in Comment. Enter ""Unknown"" if no figures found.",fnd-total-usd
International Development Finance,Involvement of multilateral development banks or bilateral development agencies,Text,"Names of development finance institutions involved (e.g., World Bank, AfDB, JICA, KfW, USAID). Separate multiple with semi-colons. Include loan/grant amounts in Comment if known.","Search development bank project databases (World Bank, AfDB websites), official development assistance databases, government announcements. Note if financing is loans vs. grants in Comment.",fnd-intl-dev
Chinese Financing Presence,Whether Chinese government or institutions provide financing,Boolean,"TRUE if Chinese government, policy banks (Exim Bank, China Development Bank), or state entities provide financing; FALSE if no Chinese financing; Unknown if unclear. Note amounts and terms in Comment if available.","Search for Belt and Road Initiative projects, Chinese embassy announcements, FOCAC agreements, loans from Chinese policy banks. Check China-Africa Research Initiative database if accessible.",fnd-chinese
Private Sector Funding Share,Estimated percentage of funding from private sector sources,Categorical,Categories: None (0%); Low (1-25%); Medium (26-50%); High (51-75%); Majority (76-100%); Unknown. Use Comment to note specific percentage if known.,"Calculate from available funding breakdowns. In PPP models, check what proportion is private vs. public. Often requires estimation based on project structure descriptions.",fnd-private-pct
Revenue Generation Model,How the smart city infrastructure generates revenue or recoups costs,Text,Description of revenue model: User fees; Advertising; Data commercialization; Government subsidy; Cross-subsidy; No revenue (public service); Mixed. Separate multiple models with semi-colons.,"Look for business model descriptions in project documents, concession agreements, or analysis reports. Note if systems are designed to be self-sustaining or require ongoing public subsidy.",fnd-revenue-model
Funding Transparency,Availability of public information about project financing,Categorical,Categories: High (detailed public documentation); Medium (basic amounts disclosed); Low (minimal disclosure); None (no public information); Unknown.,"Assess based on publicly available documentation. High = itemized budgets, contracts, payment schedules public; Medium = total amounts disclosed; Low = only vague statements; None = no financial info available.",fnd-transparency
Primary Technology Vendors,Main companies providing smart city technology and systems,Text,List of key technology providers separated by semi-colons. Include both platform providers and major subsystem vendors. Maximum 10 companies.,"Look for tender awards, partnership announcements, implementation contracts. Focus on core platform providers and major system integrators. Common vendors: Huawei, Cisco, IBM, Microsoft, Oracle, Siemens, etc.",tech-vendors
Technology Origin,Geographic origin of primary technology providers,Text,"Countries or regions of technology vendor origins, separated by semi-colons. Examples: China; USA; Europe; Africa; India; South Korea; Mixed.",Based on headquarters of primary vendors identified. Note if technology is predominantly from one region or diverse. African vendors should be specifically noted.,tech-origin
Local/African Technology Participation,Involvement of African or local technology companies,Categorical,Categories: None; Subcontractor only; Joint implementation; Primary contractor; Co-development; Unknown. Use Comment to name specific African/local companies involved.,"Look for local technology firms in project documentation, tech transfer programs, capacity building components, local subcontractors. Note if participation is substantive or tokenistic.",tech-african-local
Use of Open Standards,Extent to which open standards and interoperable technologies are used,Categorical,"Categories: Primarily open (open-source, open APIs, open standards); Mixed (combination of open and proprietary); Primarily proprietary (vendor-locked); Unknown.","Look for mentions of open APIs, open data standards, open-source software, interoperability requirements in technical specifications. This information often limited; mark Unknown if unclear.",tech-open-standards
Technology Transfer Provisions,Contractual provisions for technology transfer to local entities,Boolean,"TRUE if contracts include technology transfer, training, or local capacity building requirements; FALSE if no such provisions; Unknown if contract terms not public.","Look for technology transfer clauses in project agreements, training programs, local skills development requirements, knowledge sharing provisions. Often not publicly available.",tech-transfer
Smart City Platform Type,Type of core smart city platform or operating system if deployed,Text,"Name or description of platform: e.g., ""Huawei Smart City Platform""; ""IBM Intelligent Operations Center""; ""Custom-built""; ""No unified platform""; ""Multiple separate systems""; Unknown.","Look for mentions of city operating systems, integrated platforms, command and control centers. Note brand/product name if identifiable. Many cities have fragmented systems rather than unified platforms.",tech-platform-type
Smart City Governance Framework,Formal governance structure for smart city initiatives,Text,"Description of governance structure: e.g., ""Inter-ministerial committee""; ""Municipal smart city office""; ""PPP oversight board""; ""None identified"". Include key responsible agencies.","Look for official governance structures, coordinating bodies, responsible agencies in strategic plans, legislation, or official announcements. Note if framework exists on paper only vs. active.",gov-framework
Smart City Strategy Document,Existence of formal smart city strategy or master plan,Boolean,"TRUE if city has published smart city strategy, master plan, or vision document; FALSE if no formal strategy; Unknown if unclear. Include document name and year in Comment.","Search for smart city strategy documents, digital transformation plans, ICT master plans. Check official city websites, government portals. Note if strategy is current or outdated.",gov-strategy
Data Governance Policy,"Existence of formal data governance, privacy, or protection policies",Categorical,Categories: Comprehensive policy (dedicated data governance framework); General policy (covered under broader regulations); Minimal (basic privacy statements); None; Unknown.,"Look for data protection laws, privacy policies, data governance frameworks, open data policies. Check alignment with AU Data Policy Framework, GDPR, or national data protection laws.",gov-data-policy
Procurement Transparency,Transparency of procurement processes for smart city contracts,Categorical,Categories: High (open competitive tenders published); Medium (some public tender info); Low (limited transparency); None (closed/direct contracts); Unknown.,"Assess whether tenders are publicly advertised, evaluation criteria published, awards announced, contract details disclosed. Check procurement portals, official gazettes.",gov-procurement
Multi-stakeholder Participation,Involvement of diverse stakeholders in smart city governance,Text,"List stakeholder types involved: Government; Private sector; Civil society; Academia; Citizens; International organizations. Separate with semi-colons. Note ""Government only"" if no multi-stakeholder structure.","Look for governance structures that include various stakeholder groups, advisory bodies, consultation mechanisms. Assess if participation is formal or informal, meaningful or tokenistic.",gov-multi-stakeholder
Regulatory Framework,Specific regulations or laws governing smart city operations,Text,"Names or descriptions of relevant laws, regulations, or bylaws. Examples: ""Data Protection Act 2020""; ""Smart City Regulations""; ""General ICT Law""; ""None specific"". Separate multiple with semi-colons.","Search for smart city-specific legislation, ICT regulations, data protection laws, urban planning laws covering smart infrastructure. Note if regulations are national or local level.",gov-regulatory
CCTV Surveillance Deployment,Presence and scale of CCTV camera networks,Categorical,"Categories: Extensive (city-wide network, 1000+ cameras); Moderate (major areas covered, 100-999 cameras); Limited (specific locations, <100 cameras); None; Unknown. Note approximate number in Comment if available.","Look for announcements of CCTV installations, safe city projects, surveillance system tenders. Note camera counts, coverage areas, command center existence. Common in ""safe city"" initiatives.",surv-cctv
Advanced Surveillance Technologies,Deployment of advanced surveillance capabilities beyond basic CCTV,Text,"List of advanced features deployed: Facial recognition; License plate recognition (ANPR); AI analytics; Behavior detection; Biometrics; Drone surveillance. Separate with semi-colons. Enter ""None identified"" or ""Basic CCTV only"" if no advanced features.","Search for mentions of AI-powered surveillance, facial recognition systems, smart policing technologies. These often part of ""safe city"" or ""security"" components, frequently linked to Chinese vendors.",surv-tech-features
Integrated Command and Control Center,Existence of centralized surveillance and operations center,Boolean,"TRUE if city has integrated command center, operations center, or smart city control room; FALSE if no centralized center; Unknown if unclear. Note location and controlling agency in Comment.","Look for references to command centers, control rooms, operations centers, situation rooms. These aggregate surveillance and city data. Often ceremonially showcased by officials.",surv-command-center
Stated Surveillance Purpose,Official justification for surveillance systems,Text,Primary stated purposes: Public safety; Crime prevention; Traffic management; Counter-terrorism; Emergency response; General monitoring. Separate multiple purposes with semi-colons.,"Extract from official statements, project descriptions, government announcements. Note the framing used to justify surveillance infrastructure. Multiple purposes often cited.",surv-purpose
Surveillance Oversight Mechanisms,Independent oversight of surveillance systems,Categorical,"Categories: Strong (independent oversight body, regular audits); Moderate (some oversight provisions); Weak (internal oversight only); None (no oversight); Unknown.","Look for independent oversight bodies, judicial oversight requirements, privacy impact assessments, audit mechanisms. Often absent or weak. Check if oversight exists in policy vs. practice.",surv-oversight
Surveillance Data Retention Policies,Policies on how long surveillance data is stored,Text,"Duration or description: e.g., ""30 days""; ""90 days""; ""Indefinite""; ""Not specified""; ""Unknown"". Include any data deletion policies.","Look for data retention periods in policies, regulations, or contract specifications. This information rarely public. Mark ""Not specified"" if policies don't address retention.",surv-data-retention
Surveillance Data Access Rights,Which entities can access surveillance data,Text,List entities with access rights: Police; Intelligence services; Municipal authorities; Private operators; Multiple agencies; Unclear; Unknown. Separate with semi-colons.,"Look for policies on who can access surveillance footage and data. Check if requires warrants, court orders, or if direct access granted. Often not publicly documented.",surv-access
Privacy Impact Assessment,Whether privacy impact assessments were conducted,Boolean,TRUE if privacy impact assessment documented; FALSE if no assessment; Unknown if unclear. Note if assessment was public or internal only in Comment.,"Search for privacy impact assessments, data protection impact assessments, human rights assessments. Rarely conducted or published in African smart cities. Usually Unknown.",surv-privacy-impact
Stated Project Objectives,Official objectives or goals for smart city initiatives,Text,List primary stated objectives separated by semi-colons. Examples: Improve service delivery; Increase efficiency; Enhance public safety; Attract investment; Economic development; Environmental sustainability.,"Extract from project documents, government announcements, strategic plans. Record actual language used to describe goals. Distinguish between vague aspirations and specific objectives.",val-obj-stated
Documented Efficiency Gains,Evidence of actual efficiency improvements from smart city systems,Text,"Description of documented efficiency gains with quantitative data if available. Examples: ""20% reduction in energy use""; ""30% faster emergency response""; ""None documented""; ""Claims only, no verification"".","Look for performance reports, evaluations, case studies with actual metrics. Distinguish between claimed benefits and independently verified results. Most cities lack documentation - use ""None documented"".",val-efficiency-evidence
Documented Cost Savings,Evidence of financial savings from smart city investments,Text,"Description of documented cost savings with amounts if available. Examples: ""$2M annual savings in energy""; ""25% reduction in maintenance costs""; ""None documented""; ""ROI not calculated"".","Search for financial impact assessments, ROI studies, budget reports showing savings. Rarely documented for African smart cities. Note if savings claims are projected vs. actual.",val-cost-savings
Service Delivery Improvements,Evidence of improved public services from smart systems,Text,"Description of service improvements with metrics if available. Examples: ""E-payment system serving 50,000 users""; ""Traffic light optimization reduced congestion 15%""; ""Digital permits reduced wait time""; ""None documented"".","Look for specific service improvements in transport, utilities, administration, health, etc. Focus on evidence-based improvements, not aspirational claims. Separate multiple improvements with semi-colons.",val-service-improvement
Social Inclusion Outcomes,Evidence of benefits reaching marginalized or low-income populations,Categorical,"Categories: Documented benefits (evidence of inclusion); Mixed (some benefit, some exclusion); Elite-focused (benefits concentrated in affluent areas); No evidence; Exacerbated inequality; Unknown.","Look for evidence of digital inclusion programs, service coverage in informal settlements, affordability measures, accessibility features. Note if smart city benefits reach beyond affluent areas. Often elite-focused.",val-social-inclusion
Environmental Outcomes,Documented environmental benefits or impacts,Text,"Description of environmental outcomes: e.g., ""Air quality monitoring network deployed""; ""Energy savings from smart lighting""; ""No environmental focus""; ""Environmental monitoring only"". Separate multiple with semi-colons.","Look for environmental monitoring systems, emission reductions, energy efficiency gains, pollution reduction. Note if systems monitor environment vs. actually improve it. Distinguish claims from verified results.",val-environmental
Economic Development Outcomes,"Evidence of economic benefits such as job creation, investment attraction",Text,"Description of economic outcomes with numbers if available: e.g., ""500 jobs created""; ""Attracted $50M investment""; ""Tech hub established""; ""None documented""; ""Claims only"".","Search for evidence of jobs created, businesses attracted, investment generated, innovation ecosystem development. Distinguish between construction jobs (temporary) and ongoing employment. Often claims without evidence.",val-economic
Citizen Satisfaction Evidence,Evidence of citizen satisfaction or feedback on smart city services,Categorical,"Categories: Positive (documented high satisfaction); Mixed (some satisfaction, some complaints); Negative (documented dissatisfaction); No assessment; Unknown.","Look for citizen surveys, satisfaction studies, feedback mechanisms, media reports on public reaction. Rarely systematically assessed. News reports and social media may indicate satisfaction/dissatisfaction.",val-citizen-satisfaction
Independent Evaluation Conducted,Whether independent evaluation or impact assessment was performed,Boolean,"TRUE if independent evaluation, audit, or impact assessment conducted by third party; FALSE if no evaluation; Unknown. Note evaluator and year in Comment if known.","Search for evaluation reports by consultants, academics, civil society, auditors. Internal government assessments don't count as independent. Most African smart cities lack independent evaluation.",val-evaluation
Implementation Status,Current status of smart city project implementation,Categorical,Categories: Fully operational; Partially operational; Pilot phase; Under construction; Planned only; Stalled; Abandoned; Unknown.,"Assess based on recent news, official updates, site visits if available. Many African smart city projects announced but never implemented or stalled. Check date of last verifiable activity.",val-implementation-status
Broadband Infrastructure,Deployment of high-speed broadband networks,Categorical,"Categories: Extensive (city-wide fiber); Moderate (major areas covered); Limited (specific zones); Minimal; None; Unknown. Note technology type (fiber, wireless) in Comment.","Look for fiber optic deployments, broadband coverage data, connectivity infrastructure projects. Check if government-built or private networks. Note coverage extent and quality.",infra-broadband
5G Network Deployment,Availability of 5G wireless networks,Boolean,TRUE if 5G networks deployed or actively deploying; FALSE if not deployed; Unknown. Note deployment scale (pilot vs. commercial) and operators in Comment.,"Check telecom operator announcements, network coverage maps, 5G rollout news. Many cities have pilot deployments only. Note if true 5G vs. upgraded 4G marketed as 5G.",infra-5g
Public Wi-Fi Availability,Provision of free or subsidized public Wi-Fi,Categorical,Categories: Extensive (city-wide); Moderate (major public spaces); Limited (specific hotspots); None; Unknown. Note number of hotspots if available in Comment.,"Look for public Wi-Fi initiatives, hotspot deployments in parks, transport hubs, public buildings. Check if actually operational vs. announced. Note if free or paid.",infra-public-wifi
IoT Network Infrastructure,Dedicated networks for IoT sensor connectivity,Text,"Description of IoT networks: e.g., ""LoRaWAN network deployed""; ""NB-IoT via mobile operators""; ""No dedicated IoT network""; Unknown. Note network type and coverage.","Look for mentions of LoRaWAN, NB-IoT, Sigfox, or other IoT networks. Often part of smart city platform deployment. May be pilot scale only. Check if operational or planned.",infra-iot-network
Intelligent Transport Systems,Deployment of smart traffic management and ITS,Text,"List ITS features deployed: Adaptive traffic signals; Traffic monitoring; Real-time info; Route optimization; Incident detection. Separate with semi-colons. Enter ""None"" if not deployed.","Look for smart traffic lights, traffic management centers, SCADA systems, variable message signs. Check if operational vs. pilot. Note coverage extent (intersections covered).",trans-its
Smart Public Transit Systems,Digital systems for public transportation,Text,"List smart transit features: Real-time tracking; Mobile ticketing; Integrated payment; Fleet management; Passenger information. Separate with semi-colons. ""None"" or ""Traditional only"".","Look for GPS tracking systems, mobile apps, smart cards, real-time arrival displays, BRT systems. Check what modes covered (bus, rail, etc.). Note if systems actually working.",trans-public-transit
Smart Parking Systems,Deployment of smart parking solutions,Categorical,"Categories: Extensive (multiple locations with sensors/guidance); Moderate (some smart parking); Pilot only; None; Unknown. Note technology type in Comment (sensors, cameras, apps).","Search for smart parking projects, parking sensors, parking apps, parking guidance systems. Most African cities lack smart parking. Note if operational or pilot.",trans-parking
Shared Mobility Platforms,"Bike-sharing, e-scooter, or ride-sharing integration",Text,List platforms operating: Bike-sharing; E-scooter sharing; Ride-hailing integrated; Car-sharing; None. Separate with semi-colons. Note if officially integrated into city systems.,"Look for official bike-sharing schemes, e-scooter programs, partnerships with Uber/Bolt, integration into mobility apps. Note if private commercial only or city-integrated.",trans-mobility-platforms
EV Charging Infrastructure,Electric vehicle charging network deployment,Categorical,Categories: Extensive network; Moderate (multiple stations); Limited (few stations); Pilot only; None; Unknown. Note number of charging points in Comment if known.,"Search for EV charging station installations, electric mobility projects. Most African cities have minimal or no EV infrastructure. Note if public or private deployment.",trans-ev-charging
Smart Grid Systems,Deployment of smart electricity grid technologies,Text,"List features: Smart meters; Advanced metering infrastructure (AMI); Grid monitoring; Demand response; Distributed generation integration. Separate with semi-colons. ""None"" or ""Conventional grid"".","Look for smart meter rollouts, AMI projects, grid modernization, utility automation. Check if prepaid meters counted as ""smart"" (often not truly smart). Note deployment scale.",energy-smart-grid
Smart Street Lighting,Intelligent street lighting systems deployed,Categorical,"Categories: Extensive (city-wide smart LED); Moderate (major areas); Limited (specific zones); Pilot only; None; Unknown. Note features (dimming, remote control, sensors) in Comment.","Search for LED streetlight upgrades, smart lighting projects, adaptive lighting. Check if LED only or truly smart with controls. Note if includes sensors or just LED replacement.",energy-streetlight
Smart Building Management,Building energy management systems in public/commercial buildings,Categorical,Categories: Widespread (multiple buildings); Moderate (several buildings); Limited (few buildings); Pilot only; None; Unknown. Note which types of buildings in Comment.,"Look for building management systems (BMS), energy management in government buildings, green building certifications. Most common in new commercial developments. Often limited to individual buildings.",energy-building-mgmt
Air Quality Monitoring Network,Deployment of air quality sensors and monitoring,Categorical,Categories: Extensive network (10+ stations); Moderate (5-10 stations); Limited (1-4 stations); Pilot only; None; Unknown. Note sensor count and parameters measured in Comment.,"Search for air quality monitoring projects, sensor deployments, environmental monitoring. Check if data publicly accessible. Note if government or private/research deployment.",env-air-quality
Water Quality Monitoring,Smart water quality monitoring systems,Categorical,Categories: Deployed (operational system); Pilot; None; Unknown. Describe monitoring points and parameters in Comment.,"Look for water quality sensors in supply systems, rivers, lakes. Often part of utility management. Check if continuous monitoring or periodic manual sampling only.",env-water-quality
Climate and Weather Monitoring,Smart weather stations and climate monitoring,Categorical,"Categories: Advanced network; Basic network; Limited; None; Unknown. Note if data publicly available and used for city services (e.g., flood warnings).","Look for weather monitoring stations, climate sensors. Distinguish city-specific deployments from national meteorological services. Check if data integrated into city systems.",env-climate-weather
Smart Water Metering,Deployment of smart water meters,Categorical,Categories: Extensive (city-wide rollout); Moderate (significant coverage); Limited (specific areas); Pilot only; None; Unknown. Note number of meters or coverage % in Comment.,"Search for smart water meter projects, AMI for water, remote meter reading. Check if prepaid or postpaid, and if truly networked. Note deployment scale and utility provider.",water-smart-meters
Smart Leak Detection Systems,Sensors and systems for detecting water leaks,Categorical,"Categories: Deployed (operational); Pilot; None; Unknown. Describe technology (pressure sensors, acoustic, flow monitoring) in Comment.","Look for water loss reduction projects, leak detection systems, pressure monitoring. Often part of non-revenue water reduction programs. Check if monitoring only or also automated response.",water-leak-detection
Smart Waste Collection,IoT-enabled waste management systems,Text,"List features: Fill-level sensors; Route optimization; Tracking systems; Smart bins. Separate with semi-colons. ""None"" or ""Conventional collection"".","Search for smart waste bin projects, fill-level sensors, GPS tracking of collection vehicles, route optimization. Often pilot projects only. Note actual operational scale.",waste-smart-collection
Smart Recycling Technologies,Technology-enabled recycling and waste sorting,Categorical,"Categories: Deployed (operational); Pilot; None; Unknown. Describe technologies (AI sorting, tracking, incentive systems) in Comment.","Look for AI-based sorting, RFID waste tracking, recycling apps, incentive systems. Rare in African cities. Most waste management remains conventional.",waste-recycling-tech
Telehealth and Digital Health Systems,Smart city integration of digital health services,Text,"List systems: Telemedicine platforms; Health monitoring; Emergency response integration; E-health records; mHealth apps. Separate with semi-colons. ""None"" if not integrated.","Look for telemedicine services, remote patient monitoring, emergency response linkages. Distinguish national health systems from city-specific smart health. Note integration level.",health-telehealth
Smart Emergency Response Systems,Digital emergency management and response systems,Text,"List systems: Emergency alerts; First responder coordination; Incident management; Disaster early warning. Separate with semi-colons. ""Conventional systems"" or ""None"".","Search for emergency operations centers, alert systems, first responder networks, disaster management systems. Check if systems integrated or siloed. Note if operational or planned.",safety-emergency-systems
Smart Fire Detection and Response,IoT-based fire detection and response systems,Categorical,"Categories: Deployed; Pilot; None; Unknown. Describe systems (sensors, automated alerts, smart hydrants) in Comment.","Look for smart fire detection sensors, automated alert systems, smart fire hydrants. Rare in African cities. Usually conventional fire services only.",safety-fire-detection
E-Government Services Available,Range of digital government services offered to citizens,Text,List services: Online payments; Digital permits; Tax filing; Service requests; Complaints; Information portals. Separate with semi-colons. Rate adoption (high/medium/low) in Comment.,"Check city/government websites, mobile apps, service portals. List actual operational services, not planned. Note if services widely used or limited adoption. Check accessibility.",egov-services
Digital Payment Integration,Electronic payment systems for city services,Text,"List payment types: Mobile money; Credit/debit cards; Online banking; Digital wallets; QR codes. Separate with semi-colons. Note main platforms (e.g., M-Pesa) in Comment.","Look for digital payment acceptance for utilities, taxes, permits, fines, transit. Note which services accept digital payments and which platforms integrated. Check adoption rates if available.",egov-payment-systems
Open Data Portal,Public platform providing access to city data,Boolean,TRUE if city has open data portal; FALSE if none; Unknown. Note portal URL and assess data quality/quantity in Comment (comprehensive/limited/poor).,"Search for open data portals, data.gov.xx sites, city data platforms. Assess if portal is active, data is current, and datasets are useful. Many cities have inactive portals.",egov-open-data
Digital Citizen Engagement Platform,Apps or platforms for citizen reporting and engagement,Text,"Describe platforms: ""311-style reporting app""; ""Citizen feedback portal""; ""Service request system""; ""None"". Note platform name and functions. Assess usage in Comment.","Look for citizen reporting apps, issue tracking systems, participatory platforms, complaint mechanisms. Note if app is active and responsive. Check download numbers and reviews if available.",citizen-engagement-platform
Digital Twin Implementation,Use of digital twin or 3D city model for planning,Categorical,Categories: Comprehensive digital twin; 3D model only; BIM for specific projects; Pilot; None; Unknown. Describe scope and use in Comment.,"Search for digital twin projects, 3D city models, BIM adoption. Check if used for simulation, planning, or just visualization. Most African cities don't have digital twins. Note if pilot or operational.",plan-digital-twin
GIS and Spatial Data Systems,Geographic information systems for city planning and management,Categorical,"Categories: Advanced GIS (integrated systems); Basic GIS; Limited; None; Unknown. Note applications (planning, land records, assets) in Comment.","Look for GIS departments, spatial data infrastructure, land information systems. Most cities have some GIS capacity. Assess sophistication and integration level.",plan-gis
